tract_id,city,lr_risk_score,rf_risk_score,xgb_risk_score,risk_score,risk_tier,top_risk_driver,driver_direction
06001403100,Oakland,0.0467,0.0886,0.5739,0.2364,Low,delta_share_black,↑ increases risk
06001406000,Oakland,0.0467,0.1983,0.3166,0.1872,Low,pct_rent_burden,↓ decreases risk
06075017700,San Francisco,0.0467,0.245,0.2509,0.1809,Low,delta_share_black,↓ decreases risk
06001401100,Oakland,0.0468,0.2573,0.2268,0.177,Low,pct_rent_burden,↓ decreases risk
06085505203,San Jose,0.0608,0.3983,0.0314,0.1635,Low,share_pre1940,↓ decreases risk
06085503804,San Jose,0.0488,0.2854,0.1284,0.1542,Low,pct_population,↓ decreases risk
06085503312,San Jose,0.047,0.351,0.0308,0.1429,Low,share_pre1940,↓ decreases risk
06085503210,San Jose,0.047,0.2098,0.1717,0.1428,Low,pct_population,↓ decreases risk
06085504505,San Jose,0.0473,0.1886,0.1913,0.1424,Low,pct_population,↑ increases risk
06085503112,San Jose,0.0469,0.3462,0.0085,0.1339,Low,delta_share_black,↓ decreases risk
06085503506,San Jose,0.0477,0.2811,0.0698,0.1329,Low,delta_share_black,↑ increases risk
06085500100,San Jose,0.0468,0.3336,0.0092,0.1299,Low,delta_share_black,↓ decreases risk
06001401300,Oakland,0.0467,0.1949,0.1305,0.1241,Low,pct_rent_burden,↓ decreases risk
06085506401,San Jose,0.047,0.3132,0.0076,0.1226,Low,delta_share_black,↓ decreases risk
06085501000,San Jose,0.0469,0.3056,0.0123,0.1216,Low,delta_share_black,↓ decreases risk
06085502901,San Jose,0.0472,0.2964,0.0124,0.1186,Low,pct_population,↓ decreases risk
06085503509,San Jose,0.0468,0.212,0.0955,0.1181,Low,pct_population,↓ decreases risk
06085500400,San Jose,0.0539,0.287,0.0047,0.1152,Low,delta_share_black,↓ decreases risk
06085503111,San Jose,0.0477,0.2657,0.0317,0.115,Low,pct_population,↓ decreases risk
06085503504,San Jose,0.0478,0.2449,0.0495,0.1141,Low,delta_share_black,↓ decreases risk
06085503508,San Jose,0.0472,0.2834,0.0063,0.1123,Low,share_pre1940,↓ decreases risk
06085503703,San Jose,0.0467,0.2861,0.0024,0.1118,Low,delta_share_black,↓ decreases risk
06085506102,San Jose,0.0589,0.2408,0.0307,0.1101,Low,delta_share_black,↓ decreases risk
06085505800,San Jose,0.0468,0.251,0.0222,0.1066,Low,delta_share_black,↓ decreases risk
06085504320,San Jose,0.0468,0.1187,0.1515,0.1057,Low,pct_population,↓ decreases risk
06085506305,San Jose,0.0467,0.2629,0.0031,0.1042,Low,delta_share_black,↓ decreases risk
06001403000,Oakland,0.0467,0.1156,0.1463,0.1029,Low,pct_population,↓ decreases risk
06075015500,San Francisco,0.0467,0.1467,0.115,0.1028,Low,pct_population,↓ decreases risk
06085501300,San Jose,0.047,0.2556,0.0009,0.1012,Low,delta_share_black,↓ decreases risk
06085503707,San Jose,0.0468,0.2552,0.0009,0.101,Low,delta_share_black,↓ decreases risk
06085503511,San Jose,0.0531,0.2076,0.0307,0.0971,Low,pct_population,↓ decreases risk
06075022903,San Francisco,0.0525,0.2201,0.0178,0.0968,Low,delta_share_black,↓ decreases risk
06075015600,San Francisco,0.0471,0.2256,0.0117,0.0948,Low,share_pre1940,↓ decreases risk
06085512034,San Jose,0.0491,0.199,0.035,0.0944,Low,pct_population,↓ decreases risk
06085500901,San Jose,0.0467,0.2269,0.0077,0.0938,Low,pct_population,↓ decreases risk
06085502002,San Jose,0.0467,0.2108,0.0207,0.0927,Low,delta_share_black,↓ decreases risk
06085503113,San Jose,0.047,0.2197,0.0092,0.092,Low,delta_share_black,↓ decreases risk
06075016000,San Francisco,0.0469,0.2227,0.005,0.0915,Low,delta_share_black,↓ decreases risk
06085506605,San Jose,0.0469,0.2239,0.0032,0.0913,Low,delta_share_black,↓ decreases risk
06085500300,San Jose,0.0467,0.2213,0.0025,0.0902,Low,share_pre1940,↓ decreases risk
06085504318,San Jose,0.0468,0.2128,0.0103,0.09,Low,delta_share_black,↓ decreases risk
06075022902,San Francisco,0.0468,0.1969,0.0262,0.09,Low,pct_population,↓ decreases risk
06075018000,San Francisco,0.0608,0.1717,0.037,0.0898,Low,delta_share_black,↓ decreases risk
06085512021,San Jose,0.052,0.1991,0.0146,0.0886,Low,delta_share_black,↓ decreases risk
06085503110,San Jose,0.0475,0.1377,0.0776,0.0876,Low,pct_population,↓ decreases risk
06001406100,Oakland,0.0467,0.1511,0.0627,0.0869,Low,share_pre1940,↓ decreases risk
06075022801,San Francisco,0.0467,0.1576,0.0544,0.0862,Low,pct_population,↓ decreases risk
06085505007,San Jose,0.0469,0.2059,0.0029,0.0852,Low,delta_share_black,↓ decreases risk
06001432100,Oakland,0.0467,0.1729,0.0328,0.0841,Low,share_pre1940,↓ decreases risk
06001400900,Oakland,0.0467,0.16,0.0435,0.0834,Low,delta_share_black,↓ decreases risk
06085506103,San Jose,0.0506,0.1502,0.045,0.0819,Low,delta_share_black,↓ decreases risk
06085504001,San Jose,0.0507,0.1921,0.002,0.0816,Low,delta_share_black,↓ decreases risk
06085503003,San Jose,0.0565,0.1745,0.0136,0.0815,Low,delta_share_black,↓ decreases risk
06001400300,Oakland,0.047,0.1905,0.005,0.0808,Low,delta_share_black,↓ decreases risk
06085504410,San Jose,0.0469,0.1828,0.0118,0.0805,Low,delta_share_black,↓ decreases risk
06001402600,Oakland,0.0569,0.0992,0.0848,0.0803,Low,pct_population,↓ decreases risk
06085512019,San Jose,0.0542,0.1591,0.0276,0.0803,Low,delta_share_black,↓ decreases risk
06085512032,San Jose,0.0483,0.1513,0.0407,0.0801,Low,delta_share_black,↓ decreases risk
06075042700,San Francisco,0.0467,0.1901,0.0005,0.0791,Low,delta_share_black,↓ decreases risk
06085512023,San Jose,0.0473,0.1824,0.0067,0.0788,Low,delta_share_black,↓ decreases risk
06075012100,San Francisco,0.0467,0.1036,0.0862,0.0788,Low,delta_share_black,↓ decreases risk
06001401200,Oakland,0.0467,0.1834,0.0045,0.0782,Low,delta_share_black,↓ decreases risk
06085503709,San Jose,0.0467,0.0795,0.1084,0.0782,Low,pct_rent_burden,↓ decreases risk
06085512022,San Jose,0.0469,0.1694,0.0147,0.077,Low,delta_share_black,↓ decreases risk
06085500800,San Jose,0.0468,0.1676,0.0154,0.0766,Low,delta_share_black,↓ decreases risk
06075026001,San Francisco,0.0467,0.1671,0.0157,0.0765,Low,share_pre1940,↓ decreases risk
06075022600,San Francisco,0.0469,0.1323,0.0501,0.0764,Low,delta_share_black,↓ decreases risk
06085504311,San Jose,0.047,0.1434,0.0376,0.076,Low,pct_population,↓ decreases risk
