tract_id,risk_score,shap_population,shap_median_income,shap_median_rent,shap_share_college,shap_vacancy_rate,shap_share_pre1940,shap_share_white,shap_share_black,shap_share_hispanic,shap_poverty_rate,shap_rent_burden,shap_jobs_arts,shap_jobs_food,shap_jobs_total,shap_arts_job_share,shap_food_job_share,shap_single_family,shap_multifamily,shap_commercial,shap_industrial,shap_total_permit_count,shap_city_oakland,shap_city_san_jose,shap_delta_population,shap_pct_population,shap_delta_share_25_34,shap_pct_homeownership_rate,shap_delta_vacancy_rate,shap_delta_share_pre1940,shap_delta_share_white,shap_pct_share_white,shap_delta_share_black,shap_delta_share_hispanic,shap_pct_rent_burden,shap_delta_jobs_food,shap_delta_jobs_total,shap_pct_jobs_total,shap_delta_food_density,shap_delta_gentrify_density,shap_delta_arts_job_share,shap_delta_food_job_share,shap_delta_multifamily,shap_delta_civic_other,shap_delta_total_permit_count
06001403100,0.5739,0.05106,-0.03891,-0.11094,-0.15847,0.05495,0.38706,-0.06047,-0.58573,-0.13032,-0.02646,0.04137,-0.38041,-0.07078,-0.07598,-0.14183,-0.1698,0.03143,-0.00712,0.0,0.0,-0.30294,0.0,0.0,-0.43355,-0.97744,0.51233,-0.18553,-0.2479,-0.12167,-0.57467,-0.1979,1.1032,0.49379,0.29704,-0.02922,0.11384,0.07151,-0.18903,0.15752,-0.19033,-0.78063,0.0,0.0,-0.02565
06001406000,0.3166,-0.0835,-0.08754,0.04076,0.05055,-0.09151,0.35516,-0.08282,-0.64776,-0.10057,-0.02646,-0.12149,-0.45786,-0.1256,-0.07598,0.01706,-0.21055,0.02852,-0.0485,0.0,0.0,-0.30294,0.0,0.0,0.17944,0.77457,-0.08894,-0.38709,-0.35957,-0.10287,-0.34923,-0.1979,0.4242,0.25213,-0.99201,-0.02922,0.39834,0.06192,-0.41228,-0.3744,-0.20775,-0.55867,0.0,0.0,-0.02565
06075017700,0.2509,0.02164,-0.02589,-0.08494,-0.01178,-0.00342,-0.36286,-0.0927,0.0166,0.03781,0.0388,-0.0014,-0.42284,-0.03147,-0.07598,-0.09093,-0.17943,0.0383,-0.00712,0.0,0.0,-0.19825,0.0,0.0,0.22486,1.02213,-0.60514,-0.0587,-0.20193,-0.10299,-0.26276,-0.1979,-1.67746,-0.34551,-0.81796,-0.02922,0.36386,0.06192,-0.06778,-0.49883,0.14592,0.21847,0.0,0.0,-0.02565
06001401100,0.2268,-0.11293,-0.05894,-0.03457,-0.15847,-0.09151,-0.32182,-0.07718,-0.63509,-0.10256,0.08744,-0.28516,-0.42284,-0.09464,-0.07598,0.01706,0.14716,0.03143,-0.0485,0.0,0.0,-0.30294,0.0,0.0,0.68761,0.84071,-0.56511,-0.22261,-0.18341,-0.08343,-0.26913,-0.1979,0.41058,-0.37933,-0.93894,-0.02922,-0.55615,-0.01951,-0.12803,0.14912,0.14592,-0.51843,0.0,0.0,-0.02565
06085504505,0.1913,-0.06734,-0.03891,-0.11961,-0.08907,-0.09151,0.22953,-0.07849,-0.37175,-0.15872,-0.91,-0.39876,-0.35532,-0.05151,-0.07598,0.01706,-0.16673,0.02637,-0.0485,0.0,0.0,-0.30294,0.0,0.0,0.66036,0.9312,-0.70413,-0.31468,-0.35957,-0.09694,-0.55286,-0.1979,0.49958,-0.37933,0.26025,-0.02922,0.35315,0.0447,-0.40932,-0.52375,-0.20775,-0.53434,0.0,0.0,-0.02565
06085503210,0.1717,-0.08081,-0.02589,-0.1491,-0.10015,-0.09151,0.40363,-0.09637,-0.37175,0.00102,-0.85518,-0.39876,0.06295,-0.05151,0.05188,0.01706,-0.17407,0.05803,0.037,0.0,0.0,0.13855,0.0,0.0,-0.40505,-0.9522,-0.70828,-0.06331,-0.23133,-0.15107,-0.21755,-0.1979,0.5408,0.22577,0.4711,0.02705,0.35315,0.03963,-0.30535,-0.45562,-0.20775,-0.94367,0.0,0.0,0.03644
06085504320,0.1515,0.05375,-0.03891,-0.1491,-0.00588,-0.04518,0.23569,-0.07041,0.34966,-0.15872,0.05481,0.02601,0.04819,-0.05151,0.05188,0.01706,-0.17943,0.0383,-0.0485,0.0,0.0,-0.30294,0.0,0.0,-0.43355,-1.07876,-0.73359,-0.0462,-0.27198,-0.15107,-0.28488,-0.1979,0.51047,-0.46019,0.23731,0.02705,0.07937,0.07151,-0.31327,-0.45562,-0.20775,-1.00928,0.0,0.0,-0.02565
06001403000,0.1463,0.05106,-0.08754,-0.06724,-0.02181,0.07349,0.34621,-0.07718,-0.57215,-0.07218,-0.25603,-0.21839,0.08514,-0.1256,-0.07598,0.01706,-0.16673,0.02852,-0.0485,0.0,0.0,-0.30294,0.0,0.0,-0.43355,-1.19112,0.55352,-0.38709,-0.2479,-0.12167,-0.54192,0.1659,0.36924,-0.42539,-1.034,-0.02922,0.39834,0.05773,-0.1229,0.09243,0.16335,-0.71,0.0,0.0,-0.02565
06001401300,0.1305,-0.11293,-0.03891,-0.03457,-0.08907,0.05495,-0.34357,-0.06047,-0.45088,-0.10256,-0.79368,0.01447,-0.42284,-0.09464,-0.07598,0.01706,-0.20748,0.02637,-0.0485,0.0,0.0,-0.30294,0.0,0.0,0.17944,0.92907,-0.64137,-0.31468,-0.18341,-0.10287,-0.36838,-0.1979,0.39436,-0.37933,-0.97691,-0.02922,0.35014,0.06192,-0.08453,0.20249,-0.20775,-0.63192,0.0,0.0,-0.02565
06085503804,0.1284,-0.08081,-0.03891,-0.1491,-0.01426,0.00984,0.20022,-0.07849,-0.37175,-0.15872,-0.85518,0.0255,0.05911,-0.04343,-0.07598,0.01706,-0.20748,0.0383,-0.0485,0.0,0.0,-0.30294,0.0,0.0,0.15204,-1.0592,-0.08454,-0.18099,-0.27198,-0.13749,-0.26449,-0.15848,0.42574,-0.46019,0.54126,0.02705,0.04902,0.072,-0.29776,-0.45562,0.14592,-1.05293,0.0,0.0,-0.02565
06075015500,0.115,-0.0835,0.04016,-0.07451,-0.08907,-0.09151,0.30939,-0.06047,-0.36096,-0.09353,0.26883,0.01273,-0.27787,-0.03147,-0.07598,0.01706,0.08548,0.04158,-0.00712,0.0,0.0,-0.23518,0.0,0.0,-0.37634,-1.10378,-0.52171,-0.35176,-0.2479,-0.15107,-0.60591,-0.1979,0.77348,-0.46019,-1.07045,-0.02922,-0.74378,-0.13129,-0.1315,0.1458,-0.20775,0.90552,0.0,0.0,-0.02565
06085503709,0.1084,-0.0835,0.06019,-0.09806,-0.00588,-0.09151,0.21211,-0.07041,-0.35339,-0.10256,0.31869,-0.0014,0.05947,-0.05151,-0.07598,0.01706,-0.17943,0.05803,-0.0485,0.0,0.0,0.13855,0.0,0.0,-0.43355,-1.04004,-0.70828,0.12395,-0.27003,-0.15107,-0.34939,-0.1979,0.4445,0.22577,-1.0627,-0.02922,0.06395,0.05773,-0.45754,-0.43069,-0.20775,-0.55774,0.0,0.0,-0.02565
06085503509,0.0955,-0.08081,-0.02589,-0.1491,-0.10015,-0.09151,0.35061,-0.1007,-0.37175,0.00102,-0.85518,-0.09409,0.06295,-0.05151,0.05188,0.01706,-0.17407,0.05803,-0.0485,0.0,0.0,0.13855,0.0,0.0,-0.43355,-1.05736,-0.71032,-0.06331,-0.23133,-0.13756,-0.2571,-0.1979,0.4804,-0.32578,0.23731,0.02705,0.35315,0.07151,-0.29654,-0.33119,-0.20775,-0.87629,0.0,0.0,-0.02565
06075012100,0.0862,0.02164,0.00677,-0.16855,-0.08468,-0.00342,-1.48549,-0.05766,0.00583,-0.09783,0.27414,-0.1091,-0.27787,-0.03243,-0.07598,-0.07011,0.1965,0.0441,-0.00712,0.0,0.0,-0.1305,0.0,0.0,-0.32999,-0.98085,-0.63445,0.09344,-0.16703,-0.15231,-0.67545,-0.1979,-1.9176,-0.42637,0.37913,-0.02922,0.40557,0.03963,-0.00321,0.15752,0.2521,0.70664,0.0,0.0,-0.02565
06001402600,0.0848,0.04523,-0.03472,-0.04192,-0.00588,-0.09151,-0.23575,-0.05239,-0.63644,-0.04408,-0.20213,0.03481,-0.27706,-0.05151,-0.07598,0.01706,-0.09354,0.0383,-0.0485,0.0,0.0,-0.30294,0.0,0.0,-0.4049,-0.96041,-0.54802,0.16683,-0.28309,-0.03188,-0.62691,-0.1979,0.50954,0.22577,0.54335,-0.02922,-0.49872,-0.13956,-0.44958,0.15752,-0.20775,-0.71636,0.0,0.0,-0.02565
